"","indicators","Rank.Indicator.US","Score.US","S.W.US","IO","sub.ind"
"96","6.3.2.High-tech exports",26,24.2,NA,"knowledge","knowledge diffusion"
"97","6.3.3.ICT services exports",68,13.7,NA,"knowledge","knowledge diffusion"
"98","6.3.4.Foreign direct investment, net outflows",29,49.2,NA,"knowledge","knowledge diffusion"
"99","7.Creative outputs",10,53.5,NA,"creativity",NA
"100","7.1.Intangible assets",38,50.1,NA,"creativity","intangible assets"
"101","7.1.1.Trademark application class count by origin",81,10.6,"Weakness","creativity","intangible assets"
"102","7.1.2.Industrial designs by origin",54,6.6,NA,"creativity","intangible assets"
"103","7.1.3.ICTs and business model creation",12,79.2,NA,"creativity","intangible assets"
"104","7.1.4.ICTs and organizational model creation",1,82.3,"Strength","creativity","intangible assets"
"105","7.2.Creative goods and services",5,48.2,NA,"creativity","creative goods and services"
"106","7.2.1.Cultural and creative services exports",1,100,"Strength","creativity","creative goods and services"
"107","7.2.2.National feature films produced",53,12.7,NA,"creativity","creative goods and services"
"108","7.2.3.Global entertainment and media market",3,97.1,"Strength","creativity","creative goods and services"
"109","7.2.4.Printing and publishing output",24,27.4,NA,"creativity","creative goods and services"
"110","7.2.5.Creative goods exports",31,36.6,NA,"creativity","creative goods and services"
"111","7.3.Online creativity",7,65.4,NA,"creativity","online creativity"
"112","7.3.1.Generic top-level domains (gTLDs)",1,100,"Strength","creativity","online creativity"
"113","7.3.2.Country-code top-level domains (ccTLDs)",58,2.9,NA,"creativity","online creativity"
"114","7.3.3.Wikipedia yearly edits",41,58.8,NA,"creativity","online creativity"
"115","7.3.4.Video uploads on YouTube",1,100,"Strength","creativity","online creativity"
